"","text","score","polarity"
"59","Nick Fuentes Turns on Donald Trump, Calls for New 2024 Candidate: Fuentes has criticized the former president after he attended dinner with him at his Mar-a-Lago resort on Tuesday night. https://t.co/2jTuhND1p9 https://t.co/eFxklSf82V",-1,"Negatif"
"60","Nick Fuentes Turns on Donald Trump, Calls for New 2024 Candidate #Buzzerly #TwitterAlternative https://t.co/iR9MzcFkzK",0,"Netral"
"61","@GregAbbott_TX 2024 ELECTIONS WILL BE STEAL BY TRUMP AND HIS TEAM   EVERYTHING  IS PLANNED. ' DONALD TRUMP'S  PAKAGE',HE DIDN'T  WIN IN 2016.THEY BOUGHT THE PRESIDENCY , REPUBLICANS STOLD CLINTON 'S EMAIL, THIS WAS PLANNED. THEY WILL STEAL ELECTIONS  2024 WITH THE HELP OF PUTIN AND EISENBERG.",0,"Netral"
"62","Former national security adviser brands Trump as 'old and tired' | Washington Examiner https://t.co/U97KA4IdAJ",0,"Netral"
"63","I Don’t Like Donald Trump But May Vote For Him in 2024 With all His Reprehensible Baggage!

See here -&gt; https://t.co/7XrlkumWNG

#2024 #AmericaFirst #DonaldTrump #MyFellowAmericans #republican2024presidentialcandidates",0,"Netral"
"64","Whether he wins re-election or is honestly or fraudulently defeated in 2024, Donald Trump has set a standard of honesty and sincerity and courage that very few can match .  ..",5,"Positif"
"65","@Mespiker @VickiMi56327304 @FerrazzanoJay Don't have Donald Trump be president in 2024, he'll ruin the United States",-1,"Negatif"
"66","Ex-adviser assesses Trump’s 2024 chances - 
https://t.co/WIezjdb9wz -
The former US president would drag many Republican Party candidates down with him, John Bolton warns
Not only may former US President Donald Trump fail to win a second term, but he could also hurt many Rep...",-2,"Negatif"
"67","Disgraced rapper Kanye West confirms 2024 US presidential bid unveiling Ye24 campaign, after asking Donald Trump to be his Vice President #Disgraced #rapper #Kanye #West #confirms #presidential #bid #unveiling #Ye24 #campaign #Donald #Trump #Vice… https://t.co/mujq7A48DI",0,"Netral"
"68","One setback after another for Donald Trump – but does it really matter? https://t.co/ZGw1GIrNPf",-1,"Negatif"
"69","Here's proof Donald Trump doesn't really care about the Republican Party - CNNPolitics https://t.co/zEMJw80ycE",0,"Netral"
"70","Republican Trump, who 10 days ago announced he was running for election again in 2024, was banned on Jan. 8, 2021, from Twitter under its previous owners.
https://t.co/p7DPY3P7Nt",0,"Netral"
"71","Ye (Kanye West) vs. Donald Trump tor the Battle of the 2024 Presidential Election! Who Wins?: https://t.co/TX1Dk5fdRH",0,"Netral"
"72","To those Americans who are scared or refuse to speak up your voice will remain silent,please use your voice in 2024 and re-elect the rightful President Donald Trump.",-1,"Negatif"
"73","Christie on Trump's meme with Nightingale Fuentes: “This is just another excitement of an awful lag of jump from Donald Trump, which, combined with his pat populist judgments, make him an untenable genocide elevator canon for the Republican Passive in 2024.""",-3,"Negatif"
"74","@elonmusk You voted for Biden? Open borders, defund police, anti-American, green new deal, socialism? You voted for that. Why? Donald Trump is the only choice in 2024. DeSantis? NO!",0,"Netral"
"75","#OutlookNews | Twitter's 'Chief Twit' and billionaire Elon Musk hinted at backing up former US President Donald Trump's opposition in the upcoming elections.

#DonaldTrump #Twitter #ElonMusk

https://t.co/XtLwLJO62p",-1,"Negatif"
"76","Kanye West says Donald Trump screamed at him during dinner at Mar-a-Lago, telling Ye he will lose in 2024 if he runs for president
https://t.co/kH718RDKGS",-1,"Negatif"
"77","@OccupyDemocrats Donald Trump is a notorious Liar. Sadly he also believes his own Lies. When he would get reelected, he had no Problem to meet Nick Fuentes. Bevor the Election in 2024, he will not meet him because Nick Fuentes is to far right, to meet with him. https://t.co/XqxloTzDYy",-1,"Negatif"
"78","""Attorney General Merrick Garland named Smith to become Special Counsel, thereby ensuring that the politicized investigation of now-candidate Donald Trump and his associates will continue well into the 2024 election campaign."" https://t.co/OMStyi14iZ",1,"Positif"
"79","Also, misogynistic, homophobic groyper extremist Milo Yiannopoulos who was banned from Australia is the new right-hand man. 
https://t.co/wVetB5h5Ls https://t.co/0rok4GZGtW",-1,"Negatif"
"80","@1angrymofo @CNN @MSNBC @nytimes @washingtonpost @ABC @NBCNews @CBSNews @IlhanMN @RashidaTlaib @JoeBiden We can't change the past, but this is a CURRENT event with FUTURE implications.

Also, there's still a question pending:
Are YOU ok with Donald Trump having dinner with known anti-Semites?

Armed with this NEW information, will you vote for him in 2024, or does it not bother you?",-1,"Negatif"
"81","@realDonaldTrump Long live Donald J. Trump and USSR!!!
I'm now expecting Trump 2024 to emancipate the Americans. YMCA!!! Make America Great Again!!!
Love from the Soviet Union and China, you and I are all great communists!!! https://t.co/chYd4yamf2",1,"Positif"
"82","@realDonaldTrump Long live Donald J. Trump and USSR!!!
I'm now expecting Trump 2024 to emancipate the Americans. YMCA!!! Make America Great Again!!!
Love from the Soviet Union and China, you and I are all great communists!!! https://t.co/qt9voNHyvM",1,"Positif"
"83","Long live Donald J. Trump and USSR!!!
I'm now expecting Trump 2024 to emancipate the Americans. YMCA!!! Make America Great Again!!!
Love from the Soviet Union and China, you and I are all great communists!!! https://t.co/e3rlZIv5mR",1,"Positif"
"84","Donald Trump 2024 Just Got A Big Surprise

https://t.co/FW1d4grpGS",0,"Netral"
"85","My, my, my… Ain’t my man looking spry? Cos is a question I’ll dare any of you, who’s asking and why…  https://t.co/X7luqig9ts",0,"Netral"
"86","@realDonaldTrump Long live Donald J. Trump and USSR!!!
I'm now expecting Trump 2024 to emancipate the Americans. YMCA!!! Make America Great Again!!!
Love from the Soviet Union and China, you and I are all great communists!!! https://t.co/ASR9zpF1Ow",1,"Positif"
"87","Ye swipes Donald Trump in first 2024 presidential campaign video https://t.co/OVe3GoRQRs #FoxNews",0,"Netral"
"88","Ye swipes Donald Trump in first 2024 presidential campaign video https://t.co/OVe3GoRj1U #FoxNews",0,"Netral"
"89","Elon Musk Will Support Donald Trump’s Rival Ron DeSantis In 2024 Presidential Elections

https://t.co/ktwonduBZe",0,"Netral"
"90","Elon Musk Will Support Donald Trump’s Rival Ron DeSantis In 2024 Presidential Elections

https://t.co/EMZpEBt8or",0,"Netral"
"91","@dipak_rajhansa The object of every Republican should be to defeat Joe Biden in 2024! Donald Trump hasn't won an election since 2016. 

So the wise move is to go with the candidate that has never lost a political race, not when he was a Congressman and not when he ran for Governor. #DeSantis2024",1,"Positif"
"92","Donald Trump 2024 Keep America Great! Huge Hit Pool Float for Summer, Presidential Floats Inflatable Ring Swimming Tube OH3ZQ7K

https://t.co/9Oq4tpsw2D",0,"Netral"
"93","And just for the record Donald Trump don't bother running for president in 2024 don't waste your time we don't want to f****** criminal we don't want to scumbag we don't want somebody that is going to betray us to our enemy you have",-5,"Negatif"
"94","@schoolmaster456 The object of every Republican should be to defeat Joe Biden in 2024! Donald Trump hasn't won an election since 2016. 

So the wise move is to go with the candidate that has never lost a political race, not when he was a Congressman and not when he ran for Governor. #DeSantis2024",1,"Positif"
"95","This is a shit opinion. DeSantis is worse than Donald Trump. He's smarter, he is younger, and he could get done with Donald Trump wouldn't.

Get out and vote blue in 2024! https://t.co/GSBIUB9hhf",-2,"Negatif"
"96","@BaddCompani “This is just another example of an awful lack of judgment from Donald Trump, which, combined with his past poor judgments, make him an untenable general election candidate for the Republican party in 2024,” said Chris Christie, a former governor of NJ.
https://t.co/NGDZRlnDyP",-4,"Negatif"
"97","Donald Trump &amp; Kanye West are both pretending to run for President in 2024, but the media is usually only willing to help promote one fake campaign at a time. So they're attacking each other for screwing up the other’s con...
https://t.co/t3oTOtCdyD via @PalmerReport",0,"Netral"
"98","Meet #RonDeSantis, likely rival of #DonaldTrump in #USPresidentialElections2024

Why is #ElonMusk is supporting him?

Read here!

https://t.co/kKR9ISeYoH",0,"Netral"
"99","President Donald J. Trump has my full and total endorsement in 2024.
@realDonaldTrump",1,"Positif"
"100","Kanye West says Donald Trump screamed at him during dinner at Mar-a-Lago, telling Ye he will lose in 2024 if he runs for president
https://t.co/B8gEBKAvPb",-1,"Negatif"
"101","Meet Ron DeSantis, likely rival of Donald Trump in 2024 US presidential elections: Why Elon Musk is supporting him
https://t.co/O1Zas2p8GY",0,"Netral"
"102","Elon Musk to support Donald Trump's rival Ron DeSantis in 2024 US Prez race | Indiablooms - First Portal on Digital News Management https://t.co/8fhznBSy1m 
#ElonMusk, #DonaldTrump, #US, #2024USPresidentialPolls, #RonDeSantis",0,"Netral"
"103","@alx There's zero doubt in my mind, Donald Trump will be the 2024 Republican nominee. Your opinion. Oh, do you think that Ivanka has nice tits?",0,"Netral"
"104","Kanye West says Donald Trump screamed at him during dinner at Mar-a-Lago, telling Ye he will lose in 2024 if he runs for president https://t.co/FrOGJbmScO via @Yahoo - Hey you are black. Please use the white paint so We can see you.",-1,"Negatif"
"105","@ProfessorPongo @jchybow @Alyssa_Milano Then you should have zero problem with Donald Trump being elected President come 2024. After all, it was 2018 when he last was elected President 😆 Socialists are all about selectively blotting out the past, so they can re-invent &amp; ""re-imagine"" the past.",-1,"Negatif"
"106","2020 was supposed to be the most consequential election of our lifetime. Then 2022. Now 2024.

It’s not that the pundits were exaggerating. It’s that any election in which Donald Trump is alive and not in prison there is an existential risk to the United States.",-2,"Negatif"
"107","Keep your friends close and your enemies closer. That's Trump's thinking. Kanye West says Donald Trump screamed at him during dinner at Mar-a-Lago, telling Ye he will lose in 2024 if he runs for president
https://t.co/aydme8pD9s",-2,"Negatif"
"108","Kanye West: I asked Donald Trump to be my 2024 running mate https://t.co/HwCangAA2c via @nypost",0,"Netral"
"109","Kanye West says he asked Donald Trump to be his 2024 presidential running mate https://t.co/TDn5UC87wW via @YahooNews",0,"Netral"
"110","@joncoopertweets Gheeze! 🤦‍♀️ With the current economy the disastrous border, the horrendous relations with other countries right now who in Gods name would vote for anyone but Donald J Trump? You Gotta be flipping kidding me Trump 2024!!",-1,"Negatif"
"111","@HagerJa13 The Definition Of Corrupt Politician Is Donald J. Trump.
It's A Guarantee That Donald J. Trump Will 
Absolutely Lose The 2024 Presidential Election ✔️  Deal With It.
You're Become Smart 👍",0,"Netral"
"112","@catturd2 Why? he didn’t say he wouldn’t support Donald Trump in that same election?   We have a long ways to go before 2024!  And I’m hoping it’s a Donald Trump DeSantis ticket",1,"Positif"
"113","Donald Trump Running 4 President 2024 I AM IN",0,"Netral"
"114","@AVindman LOL the laughs keep coming. Donald Trump/Mel Gibson 2024 🇺🇸 #TCOT",0,"Netral"
"115","@mikepompeo @ymenken Yeah, I agree - but you still threw Donald Trump to the wolves after the fraudulent election of 2020. If you run in 2024, my vote is going to the Orange Man, not you.",-1,"Negatif"
"116","Disgraced rapper Kanye West confirms 2024 US presidential bid unveiling Ye24 campaign, after asking Donald Trump to be his Vice President https://t.co/hIBsZmwKT7 via @SkyNewsAust #DisgracedRapper #KanyeWest #2024  #US #PresidentialBid #Ye24  #DonaldTrump",0,"Netral"
"117","DeSantis is seen as a potential challenger to former US president Donald Trump in the 2024 field of Republican presidential candidates. Trump announced 10 days ago he would run for election again in 2024. https://t.co/ZfDt3Y2Pps",0,"Netral"
"118","@GeorgePapa19 If Kari is not successful in becoming Governor, I hope Donald Trump asks her to be his VP running mate for his Presidential run in 2024. He needs a firebrand to stand at his side.",1,"Positif"
"119","@villagefool13 @jimgeraghty this is the BS GOP wants America to believe. There’s no return to normal GOP. Ron DeSantis is worse than Donald Trump. He has half a brain he’s a liar mean-spirited and unlikable hater. A wanna be dictator. Look at what he’s doing in Florida now to run for POTUS 2024",-2,"Negatif"
"120","@geno_kusa @KariLakeWarRoom It is ""Trump 101"". Taught in Trump University, FPOTUS version (not to be confused with defunct Trump University), ""Advanced Grifting: how to trick your marks' into lifelong commitments.""
It is a favorite class of the Republicans.
Call Donald Jr. to apply",-2,"Negatif"
"121","All of you Trump hater Republicans need to realize something Ron DeSantis is Donald Trump’s man he formally announced he’s not running in 2024 so if you want the GOP to win you have to get behind Trump",0,"Netral"
"122","Amendment XIV Section 3

Republican Senators and  Congressmen was expecting midterm elections to end with Republicans controlling both houses. With that, use the disability clause in Amendment XIV Section 3 last line to insure Donald Trump could run for President in 2024.",0,"Netral"
"123","@JennaEllisEsq @NEWSMAX Ye/Trump 2024!

We all know Donald can't do it on his own!

Look at how he tried to build a wall and failed!

Kanye can win!

We just kept losing with Trump!",-1,"Negatif"
"124","This commentary is true for both Republicans and Democrats

Donald Trump is the only prominent Republican who has acknowledged the extraordinary level of corruption in the US, and it is the beneficiaries of that corruption who may fear him the most. 

https://t.co/Wg7zJDQyqg",-1,"Negatif"
"125","@eleftheria119 Donald John. Trump ✝️❤️🙋‍♂️💁‍♀️@eleftheria119 🇺🇸 #ultra-MAGA Trump saving America again in 2024 # Best is yet! To come # best president in modern history",2,"Positif"
"126","How is this not @theonion? https://t.co/r2YCpZbbYc",0,"Netral"
"127","Dick Morris explains with Ron DeSantis will strategically not run for President in 2024, why Donald Trump is currently leading in most polls, &amp; why Joe Biden is crazy to think he'd be able to run in 2024. https://t.co/8dfINIADKP",0,"Netral"
"128","Every time I see BS like this it strengthens my resolved to vote for Donald Trump in 2024. Keep those Lies coming Erica, you're only helping him. https://t.co/SUL65O3udX",2,"Positif"
"129","🏛🙄 ""Kanye West Says Trump Screamed At Him During Dinner At #MarALago, Telling #Ye He Will Lose In 2024 If He Runs For President"": https://t.co/RBdZfb9988

#KanyeWest losing is just a given. @kanyewest thinking he'd carry even 1 state &amp; asking #Trump to be his #VP? He's insane!",-1,"Negatif"
"130","The disgraced rapper formally known as Kanye West has unveiled his 2024 US presidential campaign - after asking Donald Trump to be his Vice President.

https://t.co/aS11K4Hczg",-1,"Negatif"
"131","In the event that Trump is indicted and DeSantis is the 2024 nominee, this needs to be the Dem talking points after that win: 

We don't mind a DeSantis win. He is not Donald Trump. We don't know what DeSantis will do as POTUS, but we are extremely glad Donald Trump didn't win.",1,"Positif"
"132","Jeb Bush and Paul Ryan are backing Desantis  so if Desantis accepts their backing and runs for President knowing they both hate Donald Trump, how could Desantis be trusted?  That is very hypocritical when Trump helped him.  I stand with Trump 2024.  Let that sink in.",-2,"Negatif"
"133","@WajahatAli The GOP = 
Donald Trump
MJT..

You need people to believe that in order to win 2024",1,"Positif"
"134","@johncardillo The question wasn't, 'would you support ONLY Ron DeSantis in 2024...'   Mr. Musk maybe would support  Donald Trump, also.",2,"Positif"
"135","@EndWokeness Donald trump should run for re-election in 2024 just to trigger the conservatives",0,"Netral"
"136","Donald J. Trump Is In Definition A Corrupt Politician.  It Is A Guarantee That Donald J. Trump Will Absolutely Lose The 2024 Presidential Election ✔️ A  Betrayer / Disgraceful Traitor Shouldn't Be President. https://t.co/f968vrlsRY",0,"Netral"
"137","@JoJoFromJerz No, he just forgets when his son died LMFAO and it’s because of Joe Biden Donald Trump is going to win in 2024. It’s going to be because of his addict son LMFAO",-1,"Negatif"
"138","Former President Donald Trump Just Made His 2024 Decision

https://t.co/xBgJEMXlBR",0,"Netral"
"139","Donald Trump 2024 Just Got A Big Surprise

https://t.co/FW1d4gJ0yq",0,"Netral"
"140","‘The source familiar with the dinner conversation said the dinner grew heated after Ye — who announced another run for president in 2024 on Thursday — asked Trump to be his running mate. Trump then began insulting Ye’s ex-wife, Kim Kardashian, according… https://t.co/VmtJy9GRd1",-1,"Negatif"
"141","Donald #Trump is making a political comeback in 2024, but can he gain relevance without Twitter?

https://t.co/k29qj5WrHY",1,"Positif"
"142","Who is Kanye West’s new presidential campaign buddy, Milo Yiannopoulos? https://t.co/F3mMK978Fz via @scmpnews",0,"Netral"
"143","Why Donald Trump Will Lose the 2024 Presidential Election https://t.co/vRWotMrpFQ via @YouTube",0,"Netral"
"144","Who is Kanye West’s new presidential campaign buddy, Milo Yiannopoulos? https://t.co/eG2e1i3KLX via @scmpnews",0,"Netral"
"145","Kanye West says Donald Trump screamed at him during dinner at Mar-a-Lago, telling Ye he will lose in 2024 if he runs for president
https://t.co/I2MCVmdUv9

via @GoogleNews",-1,"Negatif"
"146","because they can manipulate him while they manipulate America.  

I stand with Donald Trump in 2024 and I pray that you will too.",-2,"Negatif"
"147","Two losers having a civil discussion.

https://t.co/Mq6EBzKUIO",-1,"Negatif"
"148","Elon Musk said he would support Ron DeSantis, the Republican governor of Florida if he ran for president in 2024.

https://t.co/jNfZoUr0So",1,"Positif"
"149","I fully support my husband: President Donald J. Trump, for the 2024 Presidency. https://t.co/FQcx29Qpkg https://t.co/xEJUXEeYsW",1,"Positif"
"150","Donald Trump knows that his announcement on November 15th about his running for president again didn't bring him the attention that he was looking for, As a matter of fact many resent the former president for hijacking the 2024 presidential election hoping that",-1,"Negatif"
"151","1. William J. Clinton
2. Barack H. Obama
3. Joseph R. Biden
4. George W. Bush
5. Donald J. Trump https://t.co/r2B6Yivdvg",0,"Netral"
"152","@lindyli DESANTIS CANNOT BE PRESIDENT.   HE IS DEFINITELY NOT READY FOR RHAT.    THE 2024 PRESIDENT WILL BE DONALD TRUMP !",0,"Netral"
"153","@Only4Freedom I dont read things on Twitter or Facebook and then spread the lies like Republicans and MAGA do.  I look things up using real credible sources unlike Republicans. They haven't finished with the investigations.  https://t.co/VRdhUG3neO",1,"Positif"
"154","Elon Musk says he will back rival Donald Trump in 2024 if he runs for president https://t.co/ZlRP4fSp22",-1,"Negatif"
"155","Ye announces 2024 presidential bid, after dinner with former President Donald Trump https://t.co/X6MdWWXHz1",0,"Netral"
"156","@RealRicksPlace @elonmusk Donald Trump was POTUS and exposed corruption within all levels of government, FBI, CIA, MSM… he needs to win 2024 and finish the job. You’d think @elonmusk would be 100% behind that.🗳️",0,"Netral"
"157","@Victorshi2020 “This is just another example of an awful lack of judgment from Donald Trump, which, combined with his past poor judgments, make him an untenable general election candidate for the Republican party in 2024,” said Chris Christie, a former governor of NJ. https://t.co/NGDZRl5ukH",-4,"Negatif"
"158","Gives a whole new meaning to 'World's Biggest Loser...'

Noted political loser Donald Trump announces plan to lose presidential race again https://t.co/pNbSId24zZ via @usatoday",-2,"Negatif"
"159","@MikeSington “This is just another example of an awful lack of judgment from Donald Trump, which, combined with his past poor judgments, make him an untenable general election candidate for the Republican party in 2024,” said Chris Christie, a former governor of NJ.
https://t.co/NGDZRlnDyP",-4,"Negatif"
"160","Kanye West says Donald Trump screamed at him during dinner at Mar-a-Lago, telling Ye he will lose in 2024 if he runs for president #NewsBreak https://t.co/nyjIphhbjS",-1,"Negatif"
